pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"HD 212301 b","Radial Velocity","La Silla Observatory",,,6239.00
"HD 212301 b","Radial Velocity","La Silla Observatory",,,6256.00
"HD 213240 b","Radial Velocity","La Silla Observatory",,,5975.00
"HD 213240 b","Radial Velocity","La Silla Observatory",,,5979.00
"HD 213240 b","Radial Velocity","La Silla Observatory",,,5975.00
"HD 215152 b","Radial Velocity","La Silla Observatory",,,4935.00
"HD 215152 b","Radial Velocity","La Silla Observatory",,,
"HD 215152 c","Radial Velocity","La Silla Observatory",,,
"HD 215152 c","Radial Velocity","La Silla Observatory",,,4935.00
"HD 215497 b","Radial Velocity","La Silla Observatory",,,5113.00
"HD 215497 b","Radial Velocity","La Silla Observatory",,,
"HD 215497 b","Radial Velocity","La Silla Observatory",,,5110.00
"HD 215497 c","Radial Velocity","La Silla Observatory",,,5113.00
"HD 215497 c","Radial Velocity","La Silla Observatory",,,
"HD 216770 b","Radial Velocity","La Silla Observatory",,,5399.00
"HD 216770 b","Radial Velocity","La Silla Observatory",,,
"HD 21693 b","Radial Velocity","La Silla Observatory",,,5430.00
"HD 21693 c","Radial Velocity","La Silla Observatory",,,5430.00
"HD 217786 b","Radial Velocity","La Silla Observatory",,,5966.00
"HD 217786 b","Radial Velocity","La Silla Observatory",,,5966.00
"HD 217786 b","Radial Velocity","La Silla Observatory",,,
"HD 219828 b","Radial Velocity","La Silla Observatory",,,5869.00
"HD 219828 b","Radial Velocity","La Silla Observatory",,,5891.00
"HD 219828 b","Radial Velocity","La Silla Observatory",,,5807.00
"HD 219828 b","Radial Velocity","La Silla Observatory",,,5891.00
"HD 219828 b","Radial Velocity","La Silla Observatory",,,
"HD 221287 b","Radial Velocity","La Silla Observatory",,,6304.00
"HD 25171 b","Radial Velocity","La Silla Observatory",,,6125.00
"HD 25171 b","Radial Velocity","La Silla Observatory",,,6160.00
"HD 2638 b","Radial Velocity","La Silla Observatory",,,5192.00
"HD 2638 b","Radial Velocity","La Silla Observatory",,,5186.00
"HD 2638 b","Radial Velocity","La Silla Observatory",,,
"HD 27894 b","Radial Velocity","La Silla Observatory",,,4875.00
"HD 27894 b","Radial Velocity","La Silla Observatory",,,
"HD 27894 b","Radial Velocity","La Silla Observatory",,,
"HD 27894 b","Radial Velocity","La Silla Observatory",,,
"HD 27894 b","Radial Velocity","La Silla Observatory",,,
"HD 28185 b","Radial Velocity","La Silla Observatory",,,5622.00
"HD 28185 b","Radial Velocity","La Silla Observatory",,,5546.00
"HD 28185 b","Radial Velocity","La Silla Observatory",,,
"HD 28185 b","Radial Velocity","La Silla Observatory",,,
"HD 28185 b","Radial Velocity","La Silla Observatory",,,5705.00
"HD 28185 b","Radial Velocity","La Silla Observatory",,,5662.00
"HD 28185 b","Radial Velocity","La Silla Observatory",,,5602.00
"HD 28254 b","Radial Velocity","La Silla Observatory",,,5664.00
"HD 28254 b","Radial Velocity","La Silla Observatory",,,
"HD 285968 b","Radial Velocity","La Silla Observatory",,,3543.00
"HD 285968 b","Radial Velocity","La Silla Observatory",,,3703.49
